NPI,Gender,State,Credentials,Specialty,ACETAMINOPHEN,CARISOPRODOL,FENTANYL,HYDROCODONE,HYDROMORPHONE,METHADONE,MORPHINE,MORPHINE,OXYCODONE,OXYCODONE,OXYCONTIN,TRAMADOL,Opioid,Total_Opioids
1710982582,M,TX,DDS,Dentist,0,0,0,17,0,0,0,0,0,0,0,0,1,17.0
1245278100,F,AL,MD,General Surgery,0,45,0,182,0,0,0,24,33,87,0,36,1,407.0
1669567541,M,AZ,MD,Internal Medicine,43,0,0,0,0,0,22,146,229,29,0,90,1,559.0
1679650949,M,NV,MD,Hematology/Oncology,0,0,22,22,0,0,0,0,0,22,0,0,1,66.0
1548580897,M,PA,DO,General Surgery,0,0,0,0,0,0,0,0,25,0,0,0,1,25.0
1437192002,M,NH,MD,Family Practice,0,0,0,24,0,0,0,0,30,21,0,15,1,90.0
1821106832,F,WI,MD,Internal Medicine,0,0,25,0,0,0,0,0,0,11,0,28,1,64.0
1609931914,F,PR,MD,General Practice,0,0,0,0,0,0,0,0,0,0,0,71,1,71.0
1659334472,M,TX,MD,General Surgery,0,0,0,17,0,0,0,0,0,0,0,0,1,17.0
1144205303,M,CO,MD,Family Practice,14,0,14,109,0,0,0,11,22,17,0,60,1,247.0
1952598419,F,TX,MD,Hematology/Oncology,0,0,0,69,13,0,0,37,0,0,0,36,1,155.0
1780661793,M,OH,MD,General Surgery,0,0,0,0,0,0,0,0,25,0,0,0,1,25.0
1548238389,M,FL,MD,General Surgery,0,0,0,28,0,0,0,0,13,0,0,0,1,41.0
1366582587,M,MN,DDS,Dentist,0,0,0,14,0,0,0,0,0,0,0,0,1,14.0
1083907059,M,UT,MD,Obstetrics/Gynecology,0,0,0,0,0,0,0,0,0,11,0,0,1,11.0
1598748931,F,AL,MD,Family Practice,0,0,0,86,0,0,0,0,13,0,0,40,1,139.0
1063566727,F,IL,DPM,Podiatry,0,0,0,48,0,0,0,0,0,0,0,0,1,48.0
1629394754,M,NY,MD,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1174555080,F,FL,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,20,0,0,1,20.0
1871548537,F,MT,MD,Internal Medicine,0,0,0,13,0,0,0,0,0,0,0,18,1,31.0
1841349677,F,IN,MSNAPRNBC,Nurse Practitioner,0,0,24,37,12,152,56,93,0,131,82,0,1,587.0
1629038443,M,VA,MD,General Surgery,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1386607315,F,FL,DO,Neurology,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1295852101,M,IN,MD,General Surgery,0,0,0,53,0,0,0,0,0,0,0,0,1,53.0
1467448381,F,OR,PAC,Physician Assistant,0,12,0,55,0,0,0,0,19,15,0,15,1,116.0
1285675637,M,NE,MD,Family Practice,0,0,0,90,0,0,0,0,0,13,0,153,1,256.0
1679630891,F,TN,DNPAPRNBCFNP,Nurse Practitioner,0,0,0,104,0,0,0,0,21,36,0,0,1,161.0
1346496197,F,IL,MD,Rheumatology,0,0,0,25,0,0,0,0,0,0,0,0,1,25.0
1922136613,M,CT,DDS,Dentist,15,0,0,0,0,0,0,0,0,0,0,0,1,15.0
1235426800,F,PA,CRNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,33,0,0,1,33.0
1043399322,M,TX,MD,Urology,23,0,0,87,0,0,0,0,0,0,0,22,1,132.0
1619975919,F,CT,PAC,Physician Assistant,0,0,0,47,0,0,0,0,31,0,0,0,1,78.0
1023062759,M,MI,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1225079817,F,IA,MD,Family Practice,0,0,0,36,0,0,0,0,18,0,0,12,1,66.0
1134260607,F,NH,ARNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,19,1,19.0
1164544045,M,AR,DO,Family Practice,0,0,0,20,0,0,0,0,0,0,0,0,1,20.0
1902916729,M,CA,MD,Internal Medicine,0,0,0,11,0,0,0,0,0,0,0,0,1,11.0
1659395069,M,TX,DPMMD,Podiatry,0,0,0,37,0,0,0,0,0,0,0,12,1,49.0
1114977758,M,NE,MD,Emergency Medicine,0,0,0,15,0,0,0,0,0,0,0,12,1,27.0
1912339961,F,NC,FNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,14,1,14.0
1699933614,F,IA,PAC,Physician Assistant,0,0,0,33,0,0,0,0,0,0,0,23,1,56.0
1174601066,M,CA,MD,Internal Medicine,45,15,0,497,0,16,0,23,17,0,0,306,1,919.0
1912114752,M,OH,MD,Psychiatry,0,11,0,0,0,0,0,0,0,0,0,36,1,47.0
1326073214,M,NJ,PAC,Physician Assistant,0,0,0,0,0,0,0,0,15,0,0,0,1,15.0
1063772572,F,MI,MD,Student in an Organized Health Care Education/Training Program,0,0,0,20,0,0,0,0,0,0,0,0,1,20.0
1194739243,M,NY,MD,Cardiology,11,0,0,0,12,0,0,0,31,0,0,0,1,54.0
1609831783,F,AZ,DDS,Dentist,0,0,0,30,0,0,0,0,0,0,0,0,1,30.0
1871682567,F,TN,NP,Nurse Practitioner,0,0,25,106,0,0,0,0,0,0,0,62,1,193.0
1124108774,M,NY,MD,Thoracic Surgery,0,0,0,0,0,0,0,0,13,0,0,0,1,13.0
1386964930,F,AL,MD,Family Practice,0,0,0,24,0,0,0,0,0,0,0,24,1,48.0
1184760480,M,FL,DMD,Oral Surgery (dentists only),0,0,0,86,0,0,0,0,0,0,0,0,1,86.0
1457380826,F,NY,PA,Physician Assistant,0,0,0,11,0,0,0,0,0,0,0,0,1,11.0
1013935303,M,PA,MD,Internal Medicine,44,0,0,48,0,0,0,0,45,0,0,114,1,251.0
1629152525,M,TN,DDS,Dentist,0,0,0,44,0,0,0,0,0,0,0,0,1,44.0
1265477343,M,TX,DO,Emergency Medicine,0,0,0,25,0,0,0,0,0,0,0,13,1,38.0
1629099304,M,SC,MD,Anesthesiology,0,0,63,374,0,0,15,231,68,55,53,68,1,927.0
1982602868,M,CT,MD,Orthopedic Surgery,0,0,0,126,0,0,0,0,0,0,0,23,1,149.0
1144296245,M,WY,MD,Family Practice,58,16,40,340,0,52,0,44,52,109,0,138,1,849.0
1508982414,F,VA,MD,Internal Medicine,0,0,0,31,0,0,0,0,0,0,0,113,1,144.0
1316176233,M,OH,MD,Urology,0,0,0,13,0,0,0,0,0,0,0,0,1,13.0
1285792762,M,CA,MD,General Practice,0,0,18,100,25,0,0,0,0,0,0,199,1,342.0
1386962785,M,NJ,DO,Anesthesiology,12,43,21,72,0,12,35,120,268,450,176,27,1,1236.0
1063590743,M,CA,MD,Internal Medicine,41,0,0,429,31,0,0,48,45,0,0,0,1,594.0
1699740613,M,OH,MD,Neurology,42,86,72,281,0,11,0,0,459,72,70,183,1,1276.0
1093901357,M,OH,MD,Internal Medicine,0,51,0,263,0,0,0,0,0,0,0,0,1,314.0
1588612477,F,CA,,Emergency Medicine,0,0,0,22,0,0,0,0,12,0,0,0,1,34.0
1881825461,M,FL,DO,Emergency Medicine,0,0,0,17,0,0,0,0,33,0,0,53,1,103.0
1467427427,F,MN,MD,Family Practice,16,0,0,49,0,0,0,0,15,0,0,24,1,104.0
1053405951,F,OK,MD,Anesthesiology,0,0,33,423,32,0,35,139,244,160,47,21,1,1134.0
1366495459,F,UT,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1467627729,M,FL,,Emergency Medicine,0,0,0,0,0,0,0,0,34,0,0,38,1,72.0
1053492868,M,IN,MD,Family Practice,0,0,0,42,0,0,0,12,28,0,0,0,1,82.0
1609989268,M,ND,MD,Emergency Medicine,0,0,0,24,0,0,0,0,0,0,0,12,1,36.0
1881784809,F,NY,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1356448336,M,CA,MD,Internal Medicine,19,0,0,16,0,0,0,13,0,0,0,0,1,48.0
1598779209,M,AR,MD,Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,276,1,276.0
1235124835,M,CA,MD,Ophthalmology,0,0,0,18,0,0,0,0,0,0,0,0,1,18.0
1881699270,M,TX,MD,Otolaryngology,59,0,0,50,0,0,0,0,0,0,0,0,1,109.0
1588724504,M,TX,MD,General Surgery,11,0,0,38,0,0,0,0,0,0,0,0,1,49.0
1497708556,M,IL,MD,Internal Medicine,0,0,0,62,0,0,0,0,0,19,0,91,1,172.0
1902989668,M,CA,MD,Gastroenterology,0,0,0,0,0,0,0,0,0,0,0,12,1,12.0
1689664211,M,MI,MD,Internal Medicine,56,0,22,211,0,0,0,0,0,0,0,77,1,366.0
1508931650,M,IN,MD,Family Practice,23,0,0,109,0,0,0,0,24,12,14,38,1,220.0
1245390210,M,TX,MD,Gastroenterology,0,0,0,18,0,0,0,0,0,0,0,0,1,18.0
1447298526,M,MI,MD,Physical Medicine and Rehabilitation,0,0,0,33,0,0,0,0,0,0,0,34,1,67.0
1700874153,F,AZ,MD,Family Practice,0,0,0,0,0,0,0,0,0,0,0,14,1,14.0
1184638702,F,GA,MD,Family Practice,38,0,26,271,0,0,0,0,31,33,0,108,1,507.0
1659371177,M,MI,DO,General Surgery,0,0,0,67,0,0,0,0,0,0,0,0,1,67.0
1285706093,F,CA,MD,General Surgery,0,0,0,39,0,0,0,0,0,0,0,0,1,39.0
1497766810,M,NE,MD,Emergency Medicine,0,0,0,53,0,0,0,0,0,0,0,0,1,53.0
1063467157,M,OH,MD,Emergency Medicine,0,0,0,25,0,0,0,0,25,0,0,0,1,50.0
1972579928,M,OH,DO,Internal Medicine,17,13,26,377,0,0,0,0,54,25,13,284,1,809.0
1710154299,M,CA,MD,Emergency Medicine,0,0,0,16,0,0,0,0,0,0,0,0,1,16.0
