Year,State,State Code,Year Code,Gender,Gender Code,Deaths,Population,Death Rate
1999,Alabama,1.0,1999,Female,F,84,2293259,3.662909422790884
1999,Alabama,1.0,1999,Male,M,111,2136882,5.194484300022181
2000,Alabama,1.0,2000,Female,F,106,2300596,4.607501708252991
2000,Alabama,1.0,2000,Male,M,126,2146504,5.870010025604425
2001,Alabama,1.0,2001,Female,F,105,2309496,4.546446497417619
2001,Alabama,1.0,2001,Male,M,148,2158138,6.8577634979783495
2002,Alabama,1.0,2002,Female,F,100,2314370,4.32083029074867
2002,Alabama,1.0,2002,Male,M,148,2165719,6.833758211476189
2003,Alabama,1.0,2003,Female,F,95,2324069,4.087658326839694
2003,Alabama,1.0,2003,Male,M,160,2179422,7.341396021513962
2004,Alabama,1.0,2004,Female,F,127,2337857,5.432325415968556
2004,Alabama,1.0,2004,Male,M,200,2192872,9.120459379298016
2005,Alabama,1.0,2005,Female,F,118,2356423,5.007589893665102
2005,Alabama,1.0,2005,Male,M,214,2213382,9.668462109116275
2006,Alabama,1.0,2006,Female,F,178,2385480,7.461810620923252
2006,Alabama,1.0,2006,Male,M,288,2243501,12.837079190069451
2007,Alabama,1.0,2007,Female,F,229,2407275,9.512830898007083
2007,Alabama,1.0,2007,Male,M,325,2265565,14.345207486874136
2008,Alabama,1.0,2008,Female,F,296,2430257,12.179781809084389
2008,Alabama,1.0,2008,Male,M,350,2287949,15.297543782662986
2009,Alabama,1.0,2009,Female,F,309,2448159,12.621729225920376
2009,Alabama,1.0,2009,Male,M,379,2309779,16.40849622409763
2010,Alabama,1.0,2010,Female,F,254,2459548,10.327100751845462
2010,Alabama,1.0,2010,Male,M,331,2320188,14.266085334464277
2011,Alabama,1.0,2011,Female,F,258,2473249,10.431622533760248
2011,Alabama,1.0,2011,Male,M,347,2329491,14.895957958197735
2012,Alabama,1.0,2012,Female,F,247,2483466,9.945777393368784
2012,Alabama,1.0,2012,Male,M,385,2338557,16.463143724955174
2013,Alabama,1.0,2013,Female,F,277,2488375,11.131762696538907
2013,Alabama,1.0,2013,Male,M,371,2345347,15.81855478101961
2014,Alabama,1.0,2014,Female,F,355,2499410,14.203351991069892
2014,Alabama,1.0,2014,Male,M,445,2349967,18.93643612867755
2015,Alabama,1.0,2015,Female,F,339,2505795,13.528640611063555
2015,Alabama,1.0,2015,Male,M,471,2353184,20.01543440716918
1999,Alaska,2.0,1999,Female,F,26,301266,8.63024702422444
1999,Alaska,2.0,1999,Male,M,30,323513,9.273197676754876
2000,Alaska,2.0,2000,Female,F,28,302820,9.246417013407305
2000,Alaska,2.0,2000,Male,M,26,324112,8.021918349212617
2001,Alaska,2.0,2001,Female,F,33,305579,10.79917140903007
2001,Alaska,2.0,2001,Male,M,39,328135,11.885352065460863
2002,Alaska,2.0,2002,Female,F,36,309633,11.62666770014824
2002,Alaska,2.0,2002,Male,M,49,332704,14.72780609791286
2003,Alaska,2.0,2003,Female,F,42,313034,13.417072905818538
2003,Alaska,2.0,2003,Male,M,44,335380,13.119446597888961
2004,Alaska,2.0,2004,Female,F,48,317807,15.103506216036777
2004,Alaska,2.0,2004,Male,M,44,341479,12.885126171741161
2005,Alaska,2.0,2005,Female,F,37,320920,11.529353109809298
2005,Alaska,2.0,2005,Male,M,48,346026,13.871789981099685
2006,Alaska,2.0,2006,Female,F,32,325121,9.842489411634437
2006,Alaska,2.0,2006,Male,M,53,350181,15.135030170112026
2007,Alaska,2.0,2007,Female,F,30,327138,9.17044183188746
2007,Alaska,2.0,2007,Male,M,45,353162,12.742027737978605
2008,Alaska,2.0,2008,Female,F,46,329412,13.964275739803043
2008,Alaska,2.0,2008,Male,M,86,358043,24.01946134961443
2009,Alaska,2.0,2009,Female,F,55,337002,16.320377920605814
2009,Alaska,2.0,2009,Male,M,78,361893,21.55333206223939
2010,Alaska,2.0,2010,Female,F,40,340603,11.743877769720173
2010,Alaska,2.0,2010,Male,M,44,369628,11.903860097178784
2011,Alaska,2.0,2011,Female,F,43,347526,12.373174956693887
2011,Alaska,2.0,2011,Male,M,64,375192,17.057933004968124
2012,Alaska,2.0,2012,Female,F,57,350211,16.27590224179138
2012,Alaska,2.0,2012,Male,M,75,381238,19.672750355421023
2013,Alaska,2.0,2013,Female,F,38,349564,10.87068462427481
2013,Alaska,2.0,2013,Male,M,72,385568,18.67374885882646
2014,Alaska,2.0,2014,Female,F,56,349436,16.025824471433967
2014,Alaska,2.0,2014,Male,M,71,387296,18.33223167809634
2015,Alaska,2.0,2015,Female,F,48,349407,13.737561067751933
2015,Alaska,2.0,2015,Male,M,79,389025,20.307178201915047
1999,Arizona,4.0,1999,Female,F,149,2518299,5.916692179919859
1999,Arizona,4.0,1999,Male,M,408,2505524,16.284018831988835
2000,Arizona,4.0,2000,Female,F,169,2569575,6.5769631164686775
2000,Arizona,4.0,2000,Male,M,390,2561057,15.228087465448835
2001,Arizona,4.0,2001,Female,F,187,2641676,7.078839342902007
2001,Arizona,4.0,2001,Male,M,411,2631801,15.616682264350535
2002,Arizona,4.0,2002,Female,F,221,2704217,8.172421074196338
2002,Arizona,4.0,2002,Male,M,446,2692038,16.567373863221842
2003,Arizona,4.0,2003,Female,F,257,2764077,9.297859647180596
2003,Arizona,4.0,2003,Male,M,482,2746287,17.550969727490244
2004,Arizona,4.0,2004,Female,F,284,2835606,10.015495805834801
2004,Arizona,4.0,2004,Male,M,519,2816798,18.425176388225214
2005,Arizona,4.0,2005,Female,F,332,2930811,11.327922544305995
2005,Arizona,4.0,2005,Male,M,517,2908266,17.77691586670545
2006,Arizona,4.0,2006,Female,F,356,3026134,11.764184930343468
2006,Arizona,4.0,2006,Male,M,603,3003007,20.079873273688673
2007,Arizona,4.0,2007,Female,F,363,3096998,11.72102791154531
2007,Arizona,4.0,2007,Male,M,618,3070683,20.125815657298393
2008,Arizona,4.0,2008,Female,F,341,3155278,10.807288612920955
2008,Arizona,4.0,2008,Male,M,512,3125084,16.383559609917686
2009,Arizona,4.0,2009,Female,F,416,3189908,13.041128458877182
2009,Arizona,4.0,2009,Male,M,625,3153246,19.820844932491788
2010,Arizona,4.0,2010,Female,F,480,3216194,14.924472839635916
2010,Arizona,4.0,2010,Male,M,661,3175823,20.813502515725844
2011,Arizona,4.0,2011,Female,F,488,3258634,14.975600205484874
2011,Arizona,4.0,2011,Male,M,630,3223871,19.541724839486445
2012,Arizona,4.0,2012,Female,F,495,3294772,15.023801343461702
2012,Arizona,4.0,2012,Male,M,711,3258483,21.819969599350372
2013,Arizona,4.0,2013,Female,F,543,3331505,16.298939968572764
2013,Arizona,4.0,2013,Male,M,761,3295119,23.094765318035556
2014,Arizona,4.0,2014,Female,F,513,3387637,15.143299001634475
2014,Arizona,4.0,2014,Male,M,761,3343847,22.758218303648462
2015,Arizona,4.0,2015,Female,F,550,3436575,16.004306613415974
2015,Arizona,4.0,2015,Male,M,801,3391490,23.617937838531148
1999,Arkansas,5.0,1999,Female,F,52,1359445,3.82509038615023
1999,Arkansas,5.0,1999,Male,M,69,1292415,5.338842399693597
2000,Arkansas,5.0,2000,Female,F,58,1368707,4.2375760480511895
2000,Arkansas,5.0,2000,Male,M,93,1304693,7.1281136635208435
2001,Arkansas,5.0,2001,Female,F,48,1376845,3.4862312024955604
2001,Arkansas,5.0,2001,Male,M,83,1314726,6.313102501966189
2002,Arkansas,5.0,2002,Female,F,91,1383239,6.578761877014746
2002,Arkansas,5.0,2002,Male,M,99,1322688,7.484758310349833
2003,Arkansas,5.0,2003,Female,F,83,1391523,5.964687612062467
2003,Arkansas,5.0,2003,Male,M,120,1333293,9.000272258235812
2004,Arkansas,5.0,2004,Female,F,114,1403048,8.125167492487783
2004,Arkansas,5.0,2004,Male,M,135,1346638,10.024965877986512
2005,Arkansas,5.0,2005,Female,F,123,1418295,8.672384800059227
2005,Arkansas,5.0,2005,Male,M,163,1362802,11.960651657394104
2006,Arkansas,5.0,2006,Female,F,118,1438428,8.203399822584098
2006,Arkansas,5.0,2006,Male,M,189,1383333,13.662653894615397
2007,Arkansas,5.0,2007,Female,F,142,1451358,9.783940282135765
2007,Arkansas,5.0,2007,Male,M,184,1397292,13.168328452463767
2008,Arkansas,5.0,2008,Female,F,177,1464220,12.088347379492152
2008,Arkansas,5.0,2008,Male,M,213,1410334,15.10280543474099
2009,Arkansas,5.0,2009,Female,F,167,1475013,11.32193411176715
2009,Arkansas,5.0,2009,Male,M,217,1421830,15.262021479361104
2010,Arkansas,5.0,2010,Female,F,168,1484281,11.31861150280843
2010,Arkansas,5.0,2010,Male,M,206,1431637,14.389122382279867
2011,Arkansas,5.0,2011,Female,F,148,1495200,9.898341359015516
2011,Arkansas,5.0,2011,Male,M,227,1442779,15.733525370136382
2012,Arkansas,5.0,2012,Female,F,193,1500641,12.861170659738072
2012,Arkansas,5.0,2012,Male,M,205,1448490,14.152669331510745
2013,Arkansas,5.0,2013,Female,F,147,1505782,9.762369320392992
2013,Arkansas,5.0,2013,Male,M,196,1453591,13.483847932465185
2014,Arkansas,5.0,2014,Female,F,162,1509053,10.735209432670688
2014,Arkansas,5.0,2014,Male,M,215,1457316,14.753148939557377
2015,Arkansas,5.0,2015,Female,F,198,1515348,13.066305561494787
2015,Arkansas,5.0,2015,Male,M,227,1462856,15.517590248117383
1999,California,6.0,1999,Female,F,975,16800161,5.8035158115449015
1999,California,6.0,1999,Male,M,2116,16699043,12.67138482127389
2000,California,6.0,2000,Female,F,724,16996756,4.259636368257566
2000,California,6.0,2000,Male,M,1577,16874892,9.345244994753152
2001,California,6.0,2001,Female,F,505,17294223,2.9200502387415725
2001,California,6.0,2001,Male,M,1002,17185235,5.830586547114427
2002,California,6.0,2002,Female,F,1250,17498462,7.143484953134739
2002,California,6.0,2002,Male,M,2168,17373381,12.478860620163687
2003,California,6.0,2003,Female,F,1292,17709509,7.295515646424755
2003,California,6.0,2003,Male,M,2322,17543650,13.235558164920072
2004,California,6.0,2004,Female,F,1394,17871415,7.8001657954896135
2004,California,6.0,2004,Male,M,2287,17703161,12.918596853974272
2005,California,6.0,2005,Female,F,1405,17996230,7.807190728280312
2005,California,6.0,2005,Male,M,2416,17831713,13.548894601432853
2006,California,6.0,2006,Female,F,1481,18097471,8.183463866304855
2006,California,6.0,2006,Male,M,2545,17923731,14.19905264143944
