Year,Year Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate Standard Error,% of Total Deaths,Death Rate
1999,1999,Alabama,1.0,Male,M,25-34 years,25-34,11,300073,1.1,0.0,3.665774661499035
1999,1999,Alabama,1.0,Male,M,35-44 years,35-44,12,335631,1.0,0.0,3.575355077451129
1999,1999,Arizona,4.0,Female,F,25-34 years,25-34,16,354781,1.1,0.0,4.50982437052717
1999,1999,Arizona,4.0,Female,F,35-44 years,35-44,22,376826,1.2,0.0,5.83823833811892
1999,1999,Arizona,4.0,Female,F,45-54 years,45-54,15,308541,1.3,0.0,4.861590517953854
1999,1999,Arizona,4.0,Male,M,15-24 years,15-24,15,371056,1.0,0.0,4.042516493467294
1999,1999,Arizona,4.0,Male,M,25-34 years,25-34,54,383757,1.9,0.0,14.071404560698568
1999,1999,Arizona,4.0,Male,M,35-44 years,35-44,94,384610,2.5,0.0,24.44034216479031
1999,1999,Arizona,4.0,Male,M,45-54 years,45-54,73,296226,2.9,0.0,24.643346633988912
1999,1999,Arkansas,5.0,Male,M,35-44 years,35-44,10,195273,1.6,0.0,5.12103567825557
1999,1999,California,6.0,Female,F,15-24 years,15-24,13,2250560,0.2,0.0,0.577634011090573
1999,1999,California,6.0,Female,F,25-34 years,25-34,59,2559586,0.3,0.0,2.305060271465776
1999,1999,California,6.0,Female,F,35-44 years,35-44,158,2701239,0.5,0.0,5.849167733769578
1999,1999,California,6.0,Female,F,45-54 years,45-54,108,2124931,0.5,0.0,5.082517973524787
1999,1999,California,6.0,Female,F,55-64 years,55-64,25,1319908,0.4,0.0,1.8940714049767104
1999,1999,California,6.0,Female,F,65-74 years,65-74,10,1032910,0.3,0.0,0.9681385599907059
1999,1999,California,6.0,Male,M,15-24 years,15-24,70,2455726,0.3,0.0,2.850480876123802
1999,1999,California,6.0,Male,M,25-34 years,25-34,242,2718957,0.6,0.001,8.900471761782184
1999,1999,California,6.0,Male,M,35-44 years,35-44,487,2760947,0.8,0.001,17.63887535689747
1999,1999,California,6.0,Male,M,45-54 years,45-54,397,2064379,1.0,0.001,19.230964856743842
1999,1999,California,6.0,Male,M,55-64 years,55-64,92,1223139,0.8,0.0,7.5216308203728275
1999,1999,California,6.0,Male,M,65-74 years,65-74,20,855094,0.5,0.0,2.338924141673313
1999,1999,Colorado,8.0,Female,F,25-34 years,25-34,16,312607,1.3,0.0,5.118247512051873
1999,1999,Colorado,8.0,Female,F,35-44 years,35-44,22,365690,1.3,0.0,6.0160245016270615
1999,1999,Colorado,8.0,Female,F,45-54 years,45-54,19,295671,1.5,0.0,6.426061399325602
1999,1999,Colorado,8.0,Male,M,15-24 years,15-24,11,313172,1.1,0.0,3.512446834327462
1999,1999,Colorado,8.0,Male,M,25-34 years,25-34,33,342250,1.7,0.0,9.642074506939371
1999,1999,Colorado,8.0,Male,M,35-44 years,35-44,67,373273,2.2,0.0,17.949329311254765
1999,1999,Colorado,8.0,Male,M,45-54 years,45-54,41,297388,2.2,0.0,13.78670289319004
1999,1999,Connecticut,9.0,Female,F,25-34 years,25-34,10,234438,1.3,0.0,4.265520094865167
1999,1999,Connecticut,9.0,Female,F,35-44 years,35-44,20,294958,1.5,0.0,6.780626394266302
1999,1999,Connecticut,9.0,Female,F,45-54 years,45-54,10,240846,1.3,0.0,4.152030758243857
1999,1999,Connecticut,9.0,Male,M,15-24 years,15-24,16,203760,2.0,0.0,7.852375343541421
1999,1999,Connecticut,9.0,Male,M,25-34 years,25-34,30,227998,2.4,0.0,13.15801015798384
1999,1999,Connecticut,9.0,Male,M,35-44 years,35-44,65,284561,2.8,0.0,22.842202550595477
1999,1999,Connecticut,9.0,Male,M,45-54 years,45-54,28,228474,2.3,0.0,12.255223789140121
1999,1999,District of Columbia,11.0,Male,M,35-44 years,35-44,16,44096,9.1,0.0,36.2844702467344
1999,1999,District of Columbia,11.0,Male,M,45-54 years,45-54,16,34379,11.6,0.0,46.54003897728264
1999,1999,Florida,12.0,Female,F,25-34 years,25-34,34,1036079,0.6,0.0,3.281603043783341
1999,1999,Florida,12.0,Female,F,35-44 years,35-44,57,1233241,0.6,0.0,4.621967644604745
1999,1999,Florida,12.0,Female,F,45-54 years,45-54,33,1025162,0.6,0.0,3.2190034355545762
1999,1999,Florida,12.0,Male,M,15-24 years,15-24,44,974807,0.7,0.0,4.513713996719351
1999,1999,Florida,12.0,Male,M,25-34 years,25-34,85,1056626,0.9,0.0,8.044473635893874
1999,1999,Florida,12.0,Male,M,35-44 years,35-44,135,1223234,0.9,0.0,11.03631848035617
1999,1999,Florida,12.0,Male,M,45-54 years,45-54,90,966780,1.0,0.0,9.309253397877491
1999,1999,Florida,12.0,Male,M,55-64 years,55-64,11,708839,0.5,0.0,1.551833350027298
1999,1999,Georgia,13.0,Female,F,35-44 years,35-44,11,675072,0.5,0.0,1.629455821008722
1999,1999,Georgia,13.0,Male,M,15-24 years,15-24,10,601682,0.5,0.0,1.6620075056258954
1999,1999,Georgia,13.0,Male,M,25-34 years,25-34,26,651618,0.8,0.0,3.9900678004597787
1999,1999,Georgia,13.0,Male,M,35-44 years,35-44,37,660376,0.9,0.0,5.602868668758404
1999,1999,Georgia,13.0,Male,M,45-54 years,45-54,25,508674,1.0,0.0,4.914739105989298
1999,1999,Hawaii,15.0,Male,M,35-44 years,35-44,11,97666,3.4,0.0,11.262875514508632
1999,1999,Illinois,17.0,Female,F,25-34 years,25-34,35,906416,0.7,0.0,3.8613616705795133
1999,1999,Illinois,17.0,Female,F,35-44 years,35-44,68,1001148,0.8,0.0,6.792202551470911
1999,1999,Illinois,17.0,Female,F,45-54 years,45-54,25,808142,0.6,0.0,3.093515743520322
1999,1999,Illinois,17.0,Male,M,15-24 years,15-24,59,888143,0.9,0.0,6.643074369780542
1999,1999,Illinois,17.0,Male,M,25-34 years,25-34,119,919295,1.2,0.0,12.944702190265366
1999,1999,Illinois,17.0,Male,M,35-44 years,35-44,197,986053,1.4,0.001,19.978642121670944
1999,1999,Illinois,17.0,Male,M,45-54 years,45-54,114,775959,1.4,0.0,14.691497875532084
1999,1999,Illinois,17.0,Male,M,55-64 years,55-64,20,491627,0.9,0.0,4.068124818205672
1999,1999,Indiana,18.0,Male,M,25-34 years,25-34,16,421341,0.9,0.0,3.7973992561844208
1999,1999,Indiana,18.0,Male,M,35-44 years,35-44,22,478858,1.0,0.0,4.594263852749666
1999,1999,Kentucky,21.0,Male,M,25-34 years,25-34,15,285353,1.4,0.0,5.25664703016965
1999,1999,Kentucky,21.0,Male,M,35-44 years,35-44,20,316592,1.4,0.0,6.317279021579826
1999,1999,Kentucky,21.0,Male,M,45-54 years,45-54,10,265956,1.2,0.0,3.7600204545112725
1999,1999,Louisiana,22.0,Male,M,25-34 years,25-34,13,298091,1.2,0.0,4.361084366854417
1999,1999,Louisiana,22.0,Male,M,35-44 years,35-44,17,339382,1.2,0.0,5.009104784579029
1999,1999,Louisiana,22.0,Male,M,45-54 years,45-54,10,277057,1.1,0.0,3.609365581811685
1999,1999,Maine,23.0,Male,M,35-44 years,35-44,12,104519,3.3,0.0,11.481166103770606
1999,1999,Maryland,24.0,Female,F,25-34 years,25-34,24,393451,1.2,0.0,6.099870123598619
1999,1999,Maryland,24.0,Female,F,35-44 years,35-44,49,469739,1.5,0.0,10.431324629208985
1999,1999,Maryland,24.0,Female,F,45-54 years,45-54,14,381821,1.0,0.0,3.666639603374356
1999,1999,Maryland,24.0,Male,M,15-24 years,15-24,28,332432,1.6,0.0,8.4227751840978
1999,1999,Maryland,24.0,Male,M,25-34 years,25-34,97,370486,2.7,0.0,26.181826033912216
1999,1999,Maryland,24.0,Male,M,35-44 years,35-44,191,441710,3.1,0.001,43.241040501686626
1999,1999,Maryland,24.0,Male,M,45-54 years,45-54,102,352869,2.9,0.0,28.905911258852438
