,Specialty,State,METHADONE.HCL,OXYCODONE.ACETAMINOPHEN,HYDROCODONE.ACETAMINOPHEN,ACETAMINOPHEN.CODEINE,FENTANYL,TRAMADOL.HCL,MORPHINE.SULFATE.ER,OXYCODONE.HCL,MORPHINE.SULFATE,OXYCONTIN,HYDROMORPHONE.HCL
0,Dentist,MS,0,0,36,0,0,0,0,0,0,0,0
1,Pulmonary Disease,CO,0,0,0,0,0,0,0,0,0,0,0
2,Nurse Practitioner,GA,0,0,0,0,0,0,0,0,0,0,0
3,Emergency Medicine,NY,0,72,19,0,0,0,0,0,0,0,0
4,Family Practice,CT,13,17,80,0,0,53,0,73,0,0,0
5,Ophthalmology,MO,0,0,0,0,0,0,0,0,0,0,0
6,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
7,Orthopedic Surgery,OH,0,27,46,0,0,16,0,0,0,0,0
8,Endocrinology,NC,0,0,0,0,0,0,0,0,0,0,0
9,Dentist,OR,0,0,0,0,0,0,0,0,0,0,0
10,Otolaryngology,TX,0,0,0,0,0,0,0,0,0,0,0
11,Ophthalmology,IL,0,0,0,0,0,0,0,0,0,0,0
12,Dentist,PA,0,0,18,0,0,0,0,0,0,0,0
13,Internal Medicine,OR,0,0,0,0,0,0,0,12,0,0,0
14,Family Practice,GA,0,0,39,0,0,44,0,0,0,0,0
15,Family Practice,TX,0,0,34,0,0,17,0,0,0,0,0
16,Nurse Practitioner,FL,0,0,12,0,0,0,0,0,0,0,0
17,Emergency Medicine,PA,0,12,0,0,0,0,0,0,0,0,0
18,Psychiatry,CA,0,0,0,0,0,0,0,0,0,0,0
19,Nurse Practitioner,ID,0,0,71,0,0,48,0,0,0,0,0
20,Physician Assistant,CO,0,0,0,0,0,24,0,0,0,0,0
21,Dentist,VA,0,0,0,17,0,0,0,0,0,0,0
22,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
23,Physician Assistant,SD,0,0,0,0,0,23,0,0,0,0,0
24,Nurse Practitioner,TX,0,0,0,0,0,0,0,0,0,0,0
25,Internal Medicine,NY,0,12,0,0,0,0,0,0,0,0,0
26,Emergency Medicine,FL,0,0,24,0,0,0,0,0,0,0,0
27,Dermatology,SD,0,0,24,0,0,0,0,0,0,0,0
28,Emergency Medicine,NC,0,13,0,0,0,0,0,0,0,0,0
29,Family Practice,CA,0,0,23,0,0,0,0,0,0,0,0
30,Family Practice,CO,0,0,26,0,0,0,0,0,0,0,0
31,Neurology,NY,0,0,0,0,0,0,0,0,0,0,0
32,Nurse Practitioner,WV,0,0,24,13,0,103,0,0,0,0,0
33,Infectious Disease,NH,0,0,147,0,0,135,0,0,0,0,0
34,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
35,Internal Medicine,WI,0,0,0,0,0,0,0,0,0,0,0
36,Cardiology,AR,0,0,0,0,0,0,0,0,0,0,0
37,Internal Medicine,FL,0,0,0,0,0,98,0,0,0,0,0
38,Pulmonary Disease,AL,0,0,0,0,0,0,0,0,0,0,0
39,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
40,Family Practice,MI,0,0,41,0,0,0,0,0,0,0,0
41,Internal Medicine,TX,0,0,0,0,0,0,0,14,0,0,0
42,Oral Surgery (dentists only),TX,0,0,0,0,0,0,0,0,0,0,0
43,Nurse Practitioner,FL,0,0,0,0,0,12,0,0,0,0,0
44,Nurse Practitioner,TN,0,0,0,0,0,0,0,0,0,0,0
45,Physician Assistant,CO,0,0,12,0,0,0,0,0,0,0,0
46,Internal Medicine,CO,0,0,0,0,0,0,0,0,0,0,0
47,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
48,Emergency Medicine,FL,0,0,20,0,0,58,0,0,0,0,0
49,Student in an Organized Health Care Education/Training Program,IL,0,0,0,0,0,0,0,0,0,0,0
50,Family Practice,PA,0,0,0,0,0,0,0,0,0,0,0
51,Physician Assistant,MD,0,0,11,0,0,0,0,31,0,0,0
52,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
53,General Practice,FL,0,0,0,0,0,53,0,0,0,0,0
54,Student in an Organized Health Care Education/Training Program,AL,0,0,0,0,0,0,0,0,0,0,0
55,Student in an Organized Health Care Education/Training Program,LA,0,0,0,0,0,0,0,0,0,0,0
56,Student in an Organized Health Care Education/Training Program,NY,0,0,0,0,0,0,0,0,0,0,0
57,Student in an Organized Health Care Education/Training Program,OK,0,0,0,0,0,0,0,0,0,0,0
58,Nurse Practitioner,GA,0,0,12,0,0,13,0,0,0,0,0
59,Nurse Practitioner,IL,0,0,39,0,0,16,0,0,0,0,0
