State_Name,State_Abbreviation,County Name,State_FIPS,2013_Opioid_Prescribing_Rate,2013_Extended_Release_Opioid_Prescribing_Rate,2014_Opioid_Prescribing_Rate,2014_Extended_Release_Opioid_Prescribing_Rate,2015_Opioid_Prescribing_Rate,2015_Extended_Release_Opioid_Prescribing_ Rate,2016_Opioid_Prescribing_Rate,2016_Extended_Release_Opioid_Prescribing_ Rate,2013_2016_Change in Opioid Prescribing Rate,2013_2016_Change in Extended Release Opioid Prescribing Rate 
National,,,,5.82,6.12,5.74,6.27,5.52,6.71,5.34,6.92,-0.47,0.8
Alabama,AL,Autauga,1001,9.8,4.78,9.72,5.85,8.07,7.24,11.47,9.39,1.67,4.61
Alabama,AL,Baldwin,1003,9.14,7.73,9.04,7.4,8.87,7.77,8.56,8.06,-0.58,0.33
Alabama,AL,Barbour,1005,6.28,2.27,5.74,3.05,4.5,3.94,3.56,3.76,-2.72,1.49
Alabama,AL,Bibb,1007,3.98,1.92,4.73,4.93,3.94,2.95,3.73,2.44,-0.25,0.52
Alabama,AL,Blount,1009,6.12,1.71,6.16,1.53,5.95,0.87,5.78,0.71,-0.34,-1
Alabama,AL,Bullock,1011,3.74,1.12,3.88,2.36,4.75,1.88,4.76,2.08,1.02,0.96
Alabama,AL,Butler,1013,8.19,1.05,8.62,2.01,6.98,2.13,4.23,0.66,-3.96,-0.39
Alabama,AL,Calhoun,1015,7.98,5.49,8.11,5.42,7.74,4.83,7.33,3.72,-0.65,-1.77
Alabama,AL,Chambers,1017,7.96,6.19,7.86,6,7.62,5.85,7.86,6.05,-0.1,-0.14
Alabama,AL,Cherokee,1019,8.16,2,8.22,1.66,7.51,2.34,7.82,7.08,-0.34,5.08
Alabama,AL,Chilton,1021,6.45,1.04,6.64,0.76,7.32,0.8,7.31,0.8,0.86,-0.24
Alabama,AL,Choctaw,1023,8.13,1.73,7.59,2.03,7.15,2.51,7.36,2.43,-0.77,0.7
Alabama,AL,Clarke,1025,6.6,0.98,6.4,0.95,5.99,1.46,5.8,1.06,-0.8,0.08
Alabama,AL,Clay,1027,7.94,5.87,7.89,5.05,8.03,9.35,8.07,7.75,0.13,1.88
Alabama,AL,Cleburne,1029,8.81,3.16,8.77,4.24,7.93,4.12,7.71,3.69,-1.1,0.53
Alabama,AL,Coffee,1031,8.16,2.23,8.72,2.5,8.45,3.18,7.9,3.78,-0.26,1.55
Alabama,AL,Colbert,1033,7.55,2.73,7.32,2.19,6.99,1.78,6.87,1.92,-0.68,-0.81
Alabama,AL,Conecuh,1035,10.16,2,9.38,2.72,9.47,2.69,9.59,2.45,-0.57,0.45
Alabama,AL,Coosa,1037,1.78,0,4.15,0,4.18,0,4.4,0,2.62,0
Alabama,AL,Covington,1039,8.24,2.88,8.53,2.1,8.24,2.5,7.83,2.22,-0.41,-0.66
Alabama,AL,Crenshaw,1041,6.5,1.8,6.22,1.08,5.61,1.35,5.61,1.96,-0.89,0.16
Alabama,AL,Cullman,1043,7.65,6.49,7.7,5.77,7.82,6.27,7.86,6.94,0.21,0.45
Alabama,AL,Dale,1045,8.41,1.93,7.33,0.74,7.16,0.98,7.5,0.86,-0.91,-1.07
