State_Name,State_Abbreviation,State_FIPS,2013_Opioid_Prescribing_Rate,2013_Extended_Release_Opioid_Prescribing_Rate,2014_Opioid_Prescribing_Rate,2014_Extended_Release_Opioid_Prescribing_Rate,2015_Opioid_Prescribing_Rate,2015_Extended_Release_Opioid_Prescribing_ Rate,2016_Opioid Prescribing Rate,2016_Extended Release Opioid Prescribing Rate,2013_2016_Change in Opioid Prescribing Rate,2013_2016_Change in Extended Release Opioid Prescribing Rate 
National,,,5.82,6.12,5.74,6.27,5.52,6.71,5.34,6.92,-0.47,0.8
Alabama,AL,35004,7.19,1.42,9.71,6.3,7.96,2.91,7.47,5.61,0.28,4.19
Alabama,AL,35005,5.62,10.3,5.95,10.15,5.71,8.7,5.51,6.78,-0.11,-3.52
Alabama,AL,35007,7.5,7.95,7.09,6.88,6.88,6.63,7.74,7.65,0.24,-0.3
Alabama,AL,35010,5.34,2.79,4.92,1.99,4.62,2.07,4.25,2,-1.09,-0.79
Alabama,AL,35016,4.45,0.64,4.36,0.79,4.06,1.51,3.78,1.85,-0.67,1.21
Alabama,AL,35020,6.54,1.24,7.44,1.41,6.25,1.75,6.38,0.61,-0.16,-0.63
Alabama,AL,35022,7.91,3.17,7.74,2.66,7.23,2.51,6.94,2.68,-0.97,-0.49
Alabama,AL,35023,6.53,4.36,6.87,4.61,6.36,3.94,4.33,1.81,-2.2,-2.55
Alabama,AL,35031,6.14,0,5.41,0,4.73,0,5.27,0,-0.87,0
Alabama,AL,35035,24.41,0,21.54,0,24.84,0,23.53,0,-0.88,0
Alabama,AL,35040,7.79,3,7.96,3.14,8.61,4.46,8.46,3.64,0.67,0.64
Alabama,AL,35042,3.71,2.08,4.56,5.17,3.84,3.46,3.86,2.82,0.15,0.74
Alabama,AL,35043,17.25,0,9.93,0,11.63,0,9.56,0,-7.69,0
Alabama,AL,35044,5.2,1.4,4.82,1.78,4.74,1.57,4.87,1.91,-0.33,0.51
Alabama,AL,35045,6.8,0.97,7.21,0.7,8.4,0.81,8.33,0.76,1.53,-0.21
Alabama,AL,35046,0,0,,,,,4.51,0,0.5,0
Alabama,AL,35049,4.01,0,4.15,0,3.76,0,6.44,2.23,-0.02,-0.72
Alabama,AL,35051,6.46,2.95,6.52,2.77,6.08,1.98,0,0,0,0
Alabama,AL,35053,,,0,0,,,7.88,6.54,0.79,1.76
Alabama,AL,35054,0,0,,,0,0,7.79,6.85,-0.12,-0.24
Alabama,AL,35055,7.09,4.78,8.15,6.77,7.01,4.48,100,0,,
Alabama,AL,35058,7.91,7.09,7.08,4.07,8.27,6.81,5.19,0,-3.1,0
Alabama,AL,35062,8.29,0,8.59,0,7.74,0,4.86,0,1.41,0
Alabama,AL,35064,3.45,0,3.93,0,4.49,0,6.55,0.89,-0.56,-3.09
Alabama,AL,35068,7.11,3.98,6.45,3.34,6.7,1.99,5.14,1.45,-1.72,-2.35
Alabama,AL,35071,6.86,3.8,6.46,3.3,5.89,1.99,7.75,0,-0.03,-1.21
