,State,Population_1999,Property crime rate_1999,Burglary rate_1999,Larceny-theft rate_1999,Motor vehicle theft rate_1999,Unnamed: 6_1999,Population_2014,Property crime rate_2014,Burglary rate_2014,Larceny-theft rate_2014,Motor vehicle theft rate_2014
0,Alabama,4369862,3922.3,884.4,2737.3,300.6,,4849377,3177.6,819.0,2149.5,209.1
1,Alaska,619500,3728.7,611.3,2688.3,429.1,,736732,2760.0,427.6,2096.4,236.0
2,Arizona,4778332,5345.0,1034.3,3510.2,800.4,,6731484,3197.5,647.1,2289.1,261.3
3,Arkansas,2551373,3617.0,850.2,2505.6,261.2,,2966369,3338.0,835.7,2313.5,188.8
4,California,33145121,3177.8,675.3,1994.2,508.3,,38802500,2441.1,522.3,1527.4,391.3
5,Colorado,4056133,3722.8,665.1,2692.9,364.8,,5355866,2530.1,438.2,1857.1,234.8
6,Connecticut,3282031,3043.7,588.0,2111.5,344.2,,3596677,1920.4,332.4,1418.1,169.9
7,Delaware,753538,4103.6,696.0,3003.7,403.8,,935614,2982.0,616.5,2230.1,135.4
8,District of Columbia,519000,6439.3,976.3,4181.3,1281.7,,658893,5182.5,526.0,4082.3,574.1
9,Florida,15111244,5351.5,1200.3,3534.5,616.7,,19893297,3415.5,719.9,2481.5,214.0
10,Georgia,7788240,4614.4,917.1,3182.2,515.1,,10097343,3281.2,756.9,2258.4,266.0
11,Hawaii,1185497,4600.5,794.7,3412.7,393.1,,1419561,3050.0,547.9,2228.9,273.3
12,Idaho,1251700,2905.1,610.4,2143.0,151.6,,1634464,1854.8,393.3,1359.9,101.6
13,Illinois,12128370,3825.2,711.7,2646.3,467.2,,12880580,2075.9,388.2,1552.2,135.5
14,Indiana,5942901,3391.4,714.5,2335.5,341.4,,6596855,2649.4,559.3,1880.0,210.1
15,Iowa,2869413,2943.6,592.9,2171.7,179.0,,3107126,2093.8,464.4,1495.8,133.6
16,Kansas,2654052,4055.8,824.2,3003.8,227.9,,2904021,2735.2,545.0,1952.4,237.8
17,Kentucky,3960825,2645.1,635.7,1785.5,223.9,,4413457,2246.9,526.7,1577.1,143.2
18,Louisiana,4372035,5014.1,1092.7,3425.2,496.2,,4649676,3458.8,824.5,2421.6,212.7
19,Maine,1253040,2762.7,601.1,2026.4,135.2,,1330089,1986.4,378.2,1548.2,60.1
20,Maryland,5171634,4176.1,835.9,2848.2,492.0,,5976407,2507.5,468.7,1819.6,219.2
21,Massachusetts,6175169,2711.5,533.8,1762.6,415.0,,6745408,1857.1,370.1,1364.5,122.5
22,Michigan,9863775,3750.0,778.0,2396.2,575.8,,9909877,2043.9,445.9,1384.5,213.5
23,Minnesota,4775508,3323.6,580.2,2465.4,278.0,,5457173,2297.5,380.7,1763.5,153.3
24,Mississippi,2768619,3921.1,1051.4,2380.9,488.8,,2994079,2921.2,813.3,1956.9,150.9
25,Missouri,5468338,4078.2,776.8,2881.1,420.3,,6063589,2906.5,581.5,2055.3,269.8
26,Montana,882779,3296.7,439.1,2645.4,212.3,,1023579,2472.9,351.2,1922.1,199.6
27,Nebraska,1666028,3678.0,609.7,2741.8,326.5,,1881503,2523.5,422.5,1864.1,236.8
28,Nevada,1809253,4083.1,973.5,2385.9,723.7,,2839099,2625.4,772.3,1494.3,358.7
29,New Hampshire,1201134,2185.2,307.9,1764.6,112.7,,1326813,1962.7,313.7,1584.4,64.6
30,New Jersey,8143412,2988.1,577.1,1976.8,434.2,,8938175,1734.1,354.8,1248.3,131.0
31,New Mexico,1739844,5128.0,1234.7,3426.3,467.1,,2085572,3542.3,887.3,2353.4,301.6
32,New York,18196601,2690.6,512.3,1858.1,320.2,,19746227,1718.2,257.2,1381.4,79.7
33,North Carolina,7650789,4633.5,1286.9,3012.3,334.3,,9943964,2873.1,798.2,1937.8,137.1
34,North Dakota,633666,2327.4,368.8,1795.1,163.5,,739482,2110.3,366.1,1539.5,204.7
35,Ohio,11256654,3680.2,773.1,2558.9,348.2,,11594163,2799.1,680.0,1963.6,155.4
36,Oklahoma,3358044,4175.6,1026.5,2787.8,361.3,,3878051,2990.7,760.9,1956.9,272.9
37,Oregon,3316154,4626.9,806.6,3409.1,411.1,,3970239,2879.0,434.0,2204.6,240.5
38,Pennsylvania,11994016,2693.2,467.2,1898.9,327.1,,12787209,1931.7,357.5,1472.2,102.0
39,Rhode Island,990819,3296.0,640.0,2249.0,406.9,,1055173,2173.6,457.1,1542.8,173.7
40,South Carolina,3885736,4477.6,1019.9,3086.0,371.7,,4832482,3460.3,759.9,2433.4,267.0
41,South Dakota,733133,2476.9,444.0,1915.5,117.4,,853175,1863.9,330.3,1415.5,118.0
42,Tennessee,5483535,3999.3,936.7,2602.1,460.6,,6549352,3060.6,712.2,2156.0,192.4
43,Texas,20044141,4471.4,949.7,3062.6,459.2,,26956958,3019.4,627.8,2137.3,254.3
44,Utah,2129836,4701.3,685.1,3669.6,346.6,,2942902,2878.5,391.4,2239.1,248.0
45,Vermont,593740,2704.7,595.7,1955.4,153.6,,626562,1524.4,324.6,1160.8,38.9
46,Virginia,6872912,3059.3,471.6,2326.5,261.2,,8326289,1930.3,277.7,1560.5,92.1
47,Washington,5756361,4878.0,949.4,3341.2,587.3,,7061530,3706.1,783.0,2489.1,434.0
48,West Virginia,1806928,2370.0,570.2,1591.7,208.2,,1850326,2034.7,484.9,1447.3,102.5
49,Wisconsin,5250446,3050.3,488.2,2298.9,263.2,,5757564,2088.3,368.5,1547.6,172.3
50,Wyoming,479602,3225.2,489.8,2611.1,124.3,,584153,1964.7,289.1,1572.4,103.2
