,State,Population_1999,Violent Crime rate_1999,Murder and nonnegligent manslaughter rate_1999,Legacy rape rate /1_1999,Revised rape rate /2_1999,Robbery rate_1999,Aggravated assault rate_1999,Unnamed: 8_1999,Population_2014,Violent Crime rate_2014,Murder and nonnegligent manslaughter rate_2014,Legacy rape rate /1_2014,Revised rape rate /2_2014,Robbery rate_2014,Aggravated assault rate_2014,Unnamed: 8_2014,Violent Crime rate_change,Robbery rate_change
0,Alabama,4369862,490.2,7.9,34.6,,121.2,326.5,,4849377,427.4,5.7,29.6,41.3,96.9,283.4,,-62.80000000000001,-24.299999999999997
1,Alaska,619500,630.8,8.4,83.5,,91.4,447.6,,736732,635.8,5.6,75.3,104.7,85.4,440.2,,5.0,-6.0
2,Arizona,4778332,551.1,8.0,28.9,,152.5,361.6,,6731484,399.9,4.7,36.6,50.2,92.8,252.1,,-151.20000000000005,-59.7
3,Arkansas,2551373,425.2,5.6,27.8,,79.3,312.4,,2966369,480.1,5.6,39.8,59.4,69.1,346.0,,54.900000000000034,-10.200000000000003
4,California,33145121,627.2,6.0,28.2,,181.1,411.7,,38802500,396.1,4.4,21.6,29.7,125.5,236.6,,-231.10000000000002,-55.599999999999994
5,Colorado,4056133,340.5,4.6,41.4,,75.3,219.2,,5355866,309.1,2.8,39.6,56.7,56.7,192.8,,-31.399999999999977,-18.599999999999994
6,Connecticut,3282031,345.6,3.3,19.9,,123.5,198.9,,3596677,236.9,2.4,15.9,21.7,87.8,125.0,,-108.70000000000002,-35.7
7,Delaware,753538,734.4,3.2,70.2,,198.0,463.0,,935614,489.1,5.8,26.6,41.3,135.6,306.4,,-245.29999999999995,-62.400000000000006
8,District of Columbia,519000,1627.7,46.4,47.8,,644.3,889.2,,658893,1244.4,15.9,53.4,71.6,530.7,626.1,,-383.29999999999995,-113.59999999999991
9,Florida,15111244,854.0,5.7,46.3,,211.6,590.5,,19893297,540.5,5.8,30.4,43.0,125.2,366.4,,-313.5,-86.39999999999999
10,Georgia,7788240,533.9,7.5,29.8,,166.4,330.3,,10097343,377.3,5.7,21.4,30.2,123.0,218.4,,-156.59999999999997,-43.400000000000006
11,Hawaii,1185497,234.9,3.7,29.9,,88.1,113.3,,1419561,259.2,1.8,22.1,31.3,78.0,148.1,,24.299999999999983,-10.099999999999994
12,Idaho,1251700,244.9,2.0,33.3,,17.8,191.8,,1634464,212.2,2.0,28.6,37.3,12.5,160.5,,-32.70000000000002,-5.300000000000001
13,Illinois,12128370,689.5,7.7,35.4,,217.4,428.9,,12880580,370.0,5.3,23.9,32.3,118.8,213.7,,-319.5,-98.60000000000001
